"Plant" "Parent.Genotype" "Stolon" "Label" "Row" "Column" "Pollination" "Herbivory" "HCN" "Glycosides.Ac" "Linamarase.Li" "Prop.mass" "Flower.date" "Mammal.herb" "Status" "Leaf.avg.dmg.1" "Leaf.avg.dmg.2" "Leaf.avg.dmg.3" "Avg.Bnr.Wdth" "Avg.Bnr.Ht" "Avg.bnr.dmg" "Bag.Inf.Wht" "Bag.Seed.Num" "Bag.Seed.Wht" "Biomass.plant" "Num.flwrs" "Total.Seed.mass" "Total.Inf" "Seeds.Inf" "Seed.only" "Block"
"73" 7 "89-5" 5 "7-5" 3 29 "Open" "Ambient" 0 0 0 0.3424 15 1 "ALIVE" 33.2 15.8 4.8 2.94 5.14 NA NA NA NA 3.86 47.5 0.414051534 22 0.0188205242727273 0.28295039678958 "C"
"74" 7 "89-5" 6 "7-6" 4 29 "Open" "Ambient" 0 0 0 0.3147 13 NA "ALIVE" 13.2 13.2 8.6 3.41 6.26 0 NA NA NA 2.97 43.5 0.57101246 23 0.0248266286956522 0.3902127847902 "C"
"75" 7 "89-5" 4 "7-4" 20 10 "Open" "Reduced" 0 0 0 0.3666 52 1 "ALIVE" 0.6 2 12.6 2.89 5.5 NA NA NA NA 2.73 41.5 0.804595274 17 0.0473291337647059 0.54983627239338 "D"
"76" 7 "89-5" 8 "7-8" 16 25 "Open" "Reduced" 0 0 0 0.496 18 NA "ALIVE" 5.8 6.6 2.8 3.21 5.75 24.6 NA NA NA 9.45 45 5.067772768 145 0.0349501570206897 3.46316387646816 "F"
"77" 7 "89-5" 9 "7-9" 17 6 "Supp" "Reduced" 0 0 0 0.2689 41 1 "ALIVE" 35.4 6.6 9.2 3.56 6.49 NA NA NA NA 3.6 35.5 0.492688684 13 0.0378991295384615 0.33668866598508 "D"
"78" 7 "89-5" 10 "7-10" 11 13 "Supp" "Ambient" 0 0 0 0.4028 45 NA "ALIVE" 15.4 6.4 1.2 2.83 5.82 0 NA NA NA 3.47 51.5 1.159699874 27 0.0429518471851852 0.79250410289538 "B"
"79" 7 "89-5" 15 "7-15" 5 2 "Supp" "Reduced" 0 0 0 0.4773 17 1 "ALIVE" 6.6 8.2 14 3.08 5.24 NA NA NA NA 0.91 26 0.034051914 4 0.0085129785 0.02327005647018 "A"
"80" 7 "89-5" 16 "7-16" 6 29 "Open" "Reduced" 0 0 0 0.4102 16 1 "ALIVE" 3.8 9.4 2.6 3.12 5.66 13 NA NA NA 6.95 51.5 0.819623532 46 0.0178179028695652 0.56010613306284 "C"
"81" 8 "37-5" 3 "8-3" 8 4 "Supp" "Reduced" 1 1 1 0.4303 64 1 "ALIVE" 3 3 1.2 3.26 6.41 33 NA NA NA 29.89 72 3.6167703 41 0.0882139097560976 2.471592319911 "A"
"82" 8 "37-5" 10 "8-10" 9 18 "Supp" "Reduced" 1 1 1 0.3247 79 1 "ALIVE" 5 2.6 2 3.15 6.12 NA NA NA NA 57.38 69 0.92480409 12 0.0770670075 0.6319833709833 "B"
"83" 8 "37-5" 11 "8-11" 5 7 "Open" "Reduced" 1 1 1 0.3219 23 1 "ALIVE" 1.2 0 0.8 2.62 6.22 29.6 NA NA NA 41.27 84.5 1.011630638 11 0.0919664216363636 0.69131802909006 "A"
"84" 8 "37-5" 8 "8-8" 22 3 "Open" "Reduced" 1 1 1 0.4011 17 1 "ALIVE" 0 0 0.8 2.75 5.87 NA NA NA NA 62.56 83.5 0.584785114 8 0.07309813925 0.39962460335418 "D"
"85" 8 "37-5" 16 "8-16" 22 33 "Open" "Reduced" 1 1 1 0.4449 22 NA "ALIVE" 0 0 8.2 3.07 6.27 19 NA NA NA 28.49 68 0.428502708 4 0.107125677 0.29282589556596 "F"
"86" 8 "37-5" 1 "8-1" 17 21 "Supp" "Ambient" 1 1 1 0.4219 27 NA "ALIVE" 3.6 3 8 2.84 6.15 85.6 NA NA NA 23.24 91 0.244979366 4 0.0612448415 0.16741154934342 "E"
"87" 8 "37-5" 2 "8-2" 17 7 "Supp" "Reduced" 1 1 1 0.3205 47 1 "ALIVE" 1.6 0 2.8 2.98 6.29 NA NA NA NA 20.78 92 3.40478905 6 0.567464841666667 2.3267306930985 "D"
"88" 8 "37-5" 6 "8-6" 21 3 "Supp" "Reduced" 1 1 1 0.2933 36 NA "ALIVE" 0.4 10.6 0 3.21 6.37 1 NA NA NA 120.98 109 4.449718914 36 0.123603303166667 3.04080441426018 "D"
"89" 8 "37-5" 7 "8-7" 6 28 "Open" "Reduced" 1 1 1 0.4247 83 NA "ALIVE" 7 2.8 2.4 NA NA NA NA NA NA 34.47 105 0.530025444 5 0.1060050888 0.36220348766628 "C"
"90" 8 "37-5" 4 "8-4" 13 5 "Supp" "Ambient" 1 1 1 0.3398 77 1 "ALIVE" 26.4 2.4 1.6 3.05 6.97 NA NA NA NA 83.29 90.5 4.184772786 36 0.1162436885 2.85974817876882 "D"
"91" 8 "37-5" 5 "8-5" 21 7 "Open" "Ambient" 1 1 1 0.2758 19 NA "ALIVE" 46.4 3 3.8 3.4 7.06 NA 0.207 220 0.108 18.48 98 0.467868802662251 2 0.233934401331125 0.319727503675302 "D"
"92" 8 "37-5" 15 "8-15" 1 36 "Open" "Ambient" 1 1 1 0.5514 29 1 "ALIVE" 0 18.4 3.8 2.76 5.62 97.2 NA NA NA 40.55 94.5 0.742117678 7 0.106016811142857 0.50714095761486 "C"
"93" 8 "37-5" 12 "8-12" 12 25 "Supp" "Ambient" 1 1 1 0.349 76 1 "ALIVE" 0.4 40 2 3.2 7 NA NA NA NA 93.38 77.5 6.540655748 54 0.121123254592593 4.46968791851076 "F"
"94" 8 "37-5" 9 "8-9" 21 36 "Open" "Ambient" 1 1 1 0.3496 13 NA "ALIVE" 4.8 18 3.2 2.94 6.74 0.8 NA NA NA 94.08 107 8.21152067 67 0.12256001 5.6115068802579 "F"
"95" 8 "37-5" 14 "8-14" 6 23 "Supp" "Ambient" 1 1 1 0.3494 83 1 "ALIVE" 2.2 8.8 13.4 NA NA NA NA NA NA 29.25 100 0.821790282 9 0.0913100313333333 0.56158682501034 "B"
"96" 8 "37-5" 13 "8-13" 2 11 "Open" "Ambient" 1 1 1 0.3687 14 NA "ALIVE" 13 5.4 4 3.05 6.31 0 NA NA NA 49 102.5 1.693647954 16 0.105852997125 1.15738820232498 "A"
"97" 9 "135-1" 2 "9-2" 15 33 "Supp" "Reduced" 1 1 1 0.3586 15 NA "ALIVE" 2 19.8 1.6 2.88 6.58 2.2 NA NA NA 40.64 47.5 10.68668143 176 0.0607197808522727 7.3029574888191 "F"
"98" 9 "135-1" 3 "9-3" 8 28 "Supp" "Reduced" 1 1 1 0.3246 9 1 "ALIVE" NA 9.6 0.6 NA NA NA NA NA NA 2.76 NA 0 0 NA 0 "C"
"99" 9 "135-1" 6 "9-6" 17 33 "Supp" "Reduced" 1 1 1 0.381 10 NA "ALIVE" 6.6 7 4 2.96 5.53 0 0.051 50 0.024 81.02 55.5 7.000447275572 93 0.0752736266190538 4.78389565470764 "F"
"100" 9 "135-1" 13 "9-13" 15 5 "Open" "Reduced" 1 1 1 0.3506 50 1 "ALIVE" 12.2 3 0.8 3.26 7.34 0 NA NA NA 28.08 41.5 0.888537618 24 0.03702240075 0.60719995201266 "D"
"101" 9 "135-1" 1 "9-1" 3 16 "Supp" "Ambient" 1 1 1 0.5134 14 NA "ALIVE" 10.8 13.6 14.2 2.99 6.75 2 0.074 60 0.031 55.46 44 1.623812257572 24 0.0676588440655 1.10966458245698 "B"
"102" 9 "135-1" 8 "9-8" 8 25 "Open" "Ambient" 1 1 1 0.3366 14 1 "ALIVE" 17.6 10 6.8 2.7 5.51 0 NA NA NA 19.2 NA 0 0 NA 0 "C"
"103" 9 "135-1" 4 "9-4" 3 15 "Open" "Ambient" 1 1 1 0.5445 10 NA "ALIVE" 14.8 15.8 27.2 NA NA NA NA NA NA 18.33 NA 0 0 NA 0 "B"
"104" 9 "135-1" 5 "9-5" 4 25 "Open" "Reduced" 1 1 1 0.2785 22 NA "ALIVE" 0 3.8 0.8 3.32 7.7 0 0.125 111 0.057 78.85 49.5 18.385934081572 256 0.0718200550061406 12.5643957733239 "C"
"105" 9 "135-1" 7 "9-7" 16 24 "Supp" "Ambient" 1 1 1 0.2506 22 NA "ALIVE" 27.8 24.2 1.4 3.28 7.17 100 NA NA NA 162.83 49 16.035862782 227 0.0706425673215859 10.9584275493353 "E"
"106" 9 "135-1" 14 "9-14" 4 36 "Supp" "Ambient" 1 1 1 0.5596 NA 1 "ALIVE" 0.4 20 4 3.16 6.59 23 NA NA NA 88.98 55.5 11.844588858 201 0.0589283027761194 8.09423668789146 "C"
"107" 9 "135-1" 9 "9-9" 5 35 "Open" "Ambient" 1 1 1 0.4373 NA 1 "DEAD" 3 21.6 NA NA NA NA NA NA NA NA NA 0 0 NA 0 "C"
