"Genotype" "HCN" "Herbivory" "Pollination" "Glycosides.Ac" "Linamarase.Li" "Flwr.date" "Bnr.wdth" "Bnr.ht" "Biomass" "Infl" "Flwrs" "AF.Seeds" "RF.Seed" "Flwr.date.T" "Bnr.wdth.T" "Bnr.ht.T" "Biomass.T" "Infl.T" "Flwrs.T" "Flwr.date.S" "Bnr.wdth.S" "Bnr.ht.S" "Biomass.S" "Infl.S" "Flwrs.S" "AF.Seeds.S"
"153" "75-3" "No" "Ambient" "Open" "No" "No" 33 NA NA 25.6525 2 54.5 0.396426503713016 0.0192601573936265 5.74456264653803 NA NA 2.2505176539763 1.25992104989487 3.79139326343789 -0.00560932491448144 NA NA -0.349564213047923 -1.34828568481055 -0.517927598923577 -1.50184510747009
"154" "75-3" "No" "Ambient" "Supp" "No" "No" 52 NA NA 9.5075 1.25 48 0.313036412045275 0.00948323158987952 7.21110255092798 NA NA 1.75596794449879 1.07721734501594 3.63424118566428 1.21480536667604 NA NA -1.69057174382368 -1.49040978816821 -1.15246615889656 -1.64648864322611
"155" "75-3" "No" "Reduced" "Open" "No" "No" 44.75 2.895 6.285 23.6325 5.25 54.375 0.683152176183199 0.0985653239329531 6.68954408012983 1.30440406037292 0.0253156705899627 2.20484171298847 1.73801332244322 3.78849242583755 0.780778567691441 -1.18075389107202 -0.273992955404751 -0.473417851349847 -0.976380607115568 -0.529640414558685 -1.00450766331237
"156" "75-3" "No" "Reduced" "Supp" "No" "No" 57 2.97 6.06666666666667 32.1933333333333 4 55.6666666666667 0.632803496544158 0.0783390671516045 7.54983443527075 1.31277141725489 0.027170631566236 2.38199851604117 1.5874010519682 3.81825625728118 1.49668884418975 -0.903480038481305 0.209983605857551 0.00695571367119134 -1.09354097838504 -0.409461928781831 -1.09183951411133
"157" "77-3" "No" "Ambient" "Open" "No" "Yes" 14.75 3.1225 6.0225 41.79 8.5 69.1666666666667 0.858518722850481 0.19562353282106 3.8405728739343 1.32930797962971 0.0275706104874122 2.54254174863612 2.04082755095867 4.10486566236426 -1.59005791998376 -0.355498588311058 0.31434182434536 0.442280373253656 -0.740823256265906 0.747791107593048 -0.700327192275754
"158" "77-3" "No" "Ambient" "Supp" "No" "Yes" 23.5 3.28 5.785 36.3125 19 62.5 1.2796823392881 0.647855744899482 4.84767985741633 1.34576261934543 0.0298808724318324 2.45478825901481 2.66840164872194 3.9685026299205 -0.751970831479912 0.189768144222009 0.917110640389138 0.204330399411096 -0.252637173809609 0.197193218807488 0.0301983821060996
"159" "77-3" "No" "Reduced" "Open" "No" "Yes" 54.6666666666667 3.215 6.335 19.2025 17.75 57.75 1.06025477440657 0.368470306477185 7.39369100427294 1.33904522242683 0.0249176316538642 2.09333841576585 2.60855172313808 3.86530702625796 1.36675052023781 -0.0328300488844027 -0.377845013752899 -0.775767157023955 -0.299194067744877 -0.219483357609787 -0.350407732985592
"160" "77-3" "No" "Reduced" "Supp" "No" "Yes" 31.25 3.2925 6.08 38.155 32 60 1.58448427283293 1.22980310088283 5.59016994374947 1.34704295817261 0.0270515927977839 2.48535175958896 3.1748021039364 3.91486764116886 -0.134090740383296 0.232195458395315 0.178925284658761 0.287205555641795 0.141288667403939 -0.0193706918247156 0.558889842823777
"161" "8-2" "No" "Ambient" "Open" "No" "No" 35.25 3.63333333333333 7.00666666666667 38.955 11.5 85 1.156960478217 0.478770470556573 5.93717104351896 1.38062683616275 0.0203693460353557 2.49827822210507 2.257178717737 4.39682967215818 0.15467415369772 1.3450834786648 -1.56453500962925 0.322256599547389 -0.57252499647348 1.92666462274602 -0.182667721586527
"162" "8-2" "No" "Ambient" "Supp" "No" "No" 14 3.47 6.43333333333333 33.5725 23.25 80 1.26745641731653 0.629463988269069 3.74165738677394 1.36484196924762 0.024161722462348 2.4071099086984 2.85413373669243 4.30886938006377 -1.67237270282395 0.822011387450213 -0.57506874827673 0.0750470824785569 -0.108157309621616 1.57150420825379 0.00899201877829535
"163" "8-2" "No" "Reduced" "Open" "No" "No" 31 3.68 6.89666666666667 32.67 21.75 83.5 1.45681817572142 0.955845805803918 5.56776436283002 1.38503884758699 0.0210242991841871 2.39076717080047 2.79138508582921 4.37081231942814 -0.152736056508598 1.49128680458096 -1.39365164506588 0.0307325592372676 -0.156969104361888 1.82161342794471 0.337447758841455
"164" "8-2" "No" "Reduced" "Supp" "No" "No" 24 3.4675 6.5125 32.6725 33.5 80.25 1.49536346088096 1.03374180245278 4.89897948556636 1.36459607391844 0.0235778677502662 2.39081290653984 3.22365286363346 4.31335311834568 -0.709280673728313 0.813863014407399 -0.727401869805709 0.0308565750232311 0.179289376940101 1.58960835853297 0.404306137585227
"165" "81-3" "No" "Ambient" "Open" "No" "Yes" 15.75 2.7725 5.9525 37.25 45.25 64.25 1.49981471478263 1.04300073799829 3.96862696659689 1.29038078896683 0.0282228710738679 2.47048129073402 3.5634679836008 4.00520156632829 -1.4834947807634 -1.64545099238344 0.484522674356544 0.246883197062921 0.443629496724412 0.345373825711607 0.412027020126664
"166" "81-3" "No" "Ambient" "Supp" "No" "Yes" 25.75 2.8325 5.7675 56.6725 86.5 65.625 1.71025798682313 1.54652401008391 5.07444578254611 1.29730615814876 0.0300624792263571 2.74374087217296 4.42254271091633 4.03357161506136 -0.563262385325751 -1.41596110438528 0.964493541183383 0.987846440077243 1.11189851413625 0.459924585233739 0.777049510631737
"167" "81-3" "No" "Reduced" "Open" "No" "Yes" 21.75 2.84 6.1775 56.085 141.75 67.375 2.25075033274712 3.52495643782682 4.66368952654441 1.2981640707689 0.0262044163940725 2.73660225854626 5.21403996732967 4.06911152219885 -0.905082589458363 -1.38753196711671 -0.0421109138895074 0.968489569677259 1.72759942700135 0.603425338237363 1.71455566274164
"168" "81-3" "No" "Reduced" "Supp" "No" "Yes" 16.25 3.0525 5.98 39.3175 123.5 58.875 2.04458810332928 2.64234349479417 4.03112887414927 1.32179443218891 0.0279638930213309 2.50407005002383 4.9799194623621 3.89024518074071 -1.43148239023721 -0.604479273002809 0.41695289315225 0.337961562480692 1.54547850685795 -0.118789680134742 1.35695881633024
"169" "81-4" "No" "Ambient" "Open" "No" "No" 29.25 3.56 6.5175 67.9375 66.75 62.5 1.56180374312429 1.17774471278908 5.40832691319598 1.37360701309047 0.0235417053817368 2.87096164393 4.05649012746648 3.9685026299205 -0.285415573336368 1.11246361850905 -0.736836967897683 1.33281482187559 0.827148430720922 0.197193218807488 0.519549533390505
"170" "81-4" "No" "Ambient" "Supp" "No" "No" 25.75 3.31 6.0175 37.2333333333333 42.25 62.875 1.34666299735409 0.755002807107221 5.07444578254611 1.34882932199223 0.0276164469059137 2.470204904167 3.48290988394131 3.97642381387246 -0.563262385325751 0.291391209859394 0.326300971998967 0.246133754770897 0.380963839835356 0.229176866299572 0.146379081949118
"171" "81-4" "No" "Reduced" "Open" "No" "No" 13.75 3.2975 5.9275 48.5025 79.25 56.375 1.76743390590216 1.70687348304689 3.70809924354783 1.34755407302768 0.0284614403516696 2.63900997076911 4.29536186390886 3.83438324528453 -1.70029887850662 0.24913256135166 0.546767616525217 0.703860978563412 1.01296530499754 -0.344345413051825 0.876223488382511
"172" "81-4" "No" "Reduced" "Supp" "No" "No" 20.25 3.3475 6.1325 57.705 116.5 53.875 2.15029803196274 3.07374444940566 4.5 1.35263352256005 0.0265904009649656 2.75615324631221 4.88399609973746 3.77684441250096 -1.04130056924623 0.417453162557784 0.0585960485267498 1.02150349593342 1.47086030514653 -0.57667201422859 1.54031702515658
"173" "83-4" "Yes" "Ambient" "Open" "Yes" "Yes" 44.75 2.945 5.82 17.125 5 54.3333333333333 0.615960558558623 0.0722487766114048 6.68954408012983 1.31000008785231 0.0295225611412241 2.03426555280074 1.7099759466767 3.78752449211483 0.780778567691441 -0.995315153331909 0.823623894032646 -0.935947524300667 -0.998190711590242 -0.533548675138279 -1.12105428116608
"174" "83-4" "Yes" "Ambient" "Supp" "Yes" "Yes" 64 3.19 6.02 21.5925 4 56 0.48530572002726 0.0353360512053212 8 1.33643447648928 0.0275935144203706 2.15563750984838 1.5874010519682 3.82586236554478 1.87130440507505 -0.119343818339975 0.320317673354795 -0.606838629265957 -1.09354097838504 -0.378750473655314 -1.34768045977861
"175" "83-4" "Yes" "Reduced" "Open" "Yes" "Yes" 82.6666666666667 3.405 6.92 24.915 7.75 48.5 0.705400406316227 0.108512283228939 9.0921211313239 1.35840502381454 0.0208827558555247 2.23416489156269 1.9789458048402 3.64681651488434 2.78013795926231 0.608706674346573 -1.43058161521181 -0.393905918493072 -0.78896069106572 -1.10169030274798 -0.965917195231618
"176" "83-4" "Yes" "Reduced" "Supp" "Yes" "Yes" 60.6666666666667 3.355 6.595 52.44 9.75 51.5 0.632199417655655 0.078114932093653 7.78888096369861 1.35339052324206 0.0229916637974986 2.69101222518454 2.13632934084896 3.72050943036845 1.69561687498782 0.442538323675792 -0.880347930066662 0.844868876155936 -0.666532993426395 -0.804137784614162 -1.0928873137307
"177" "84-4" "Yes" "Ambient" "Open" "Yes" "Yes" 44.5 2.6625 5.615 20.305 67.5 63.875 1.58100800118333 1.22172648468697 6.67083203206317 1.27738674144054 0.0317176117589874 2.12275928150528 4.07162642489236 3.99739413607028 0.765206909326101 -2.07604211801439 1.39633300401948 -0.69599033830901 0.838922864639672 0.313849485574391 0.552860107005151
"178" "84-4" "Yes" "Ambient" "Supp" "Yes" "Yes" 46.25 2.7525 5.84 20.0325 45.75 69.75 1.45158763874786 0.945587165521923 6.80073525436772 1.28804736027201 0.0293206980671796 2.11560111800569 3.57654504752033 4.11637315534454 0.873308844030275 -1.72277514301846 0.77095594162203 -0.715400219612186 0.453802065394248 0.794255323199038 0.328375177835399
"179" "84-4" "Yes" "Reduced" "Open" "Yes" "Yes" 47 2.755 5.925 24.185 84.75 63.375 1.76513307983243 1.70021618943794 6.85565460040104 1.28833973286156 0.0284854635119016 2.21761690162542 4.39251482181816 3.98693654967739 0.919011232728311 -1.71308662662825 0.553035482333967 -0.438776997577378 1.08854000141956 0.271624515312802 0.872232611154413
"180" "84-4" "Yes" "Reduced" "Supp" "Yes" "Yes" 27.75 2.6975 6.045 21.9225 101.75 62.5 1.9005137982244 2.12219294440472 5.26782687642637 1.281564189015 0.0273657521716435 2.16382692086123 4.66850834339064 3.9685026299205 -0.402335889332798 -1.9376116674782 0.260892385527011 -0.584632445275992 1.3032336870895 0.197193218807488 1.10705602230293
"181" "89-5" "No" "Ambient" "Open" "No" "No" 23.75 3.13666666666667 5.70666666666667 4.6725 24 44.875 0.87727570277176 0.208727700587996 4.87339717240448 1.33081317640933 0.0307068302908551 1.47023693060735 2.88449914061482 3.55359683058628 -0.730569580176861 -0.305620028584325 1.13261072339385 -2.46535218360885 -0.0845362461712492 -1.47808675307579 -0.667792440944283
"182" "89-5" "No" "Ambient" "Supp" "No" "No" 43 3.01333333333333 5.56333333333333 5.1125 28.25 49.25 0.88148436923061 0.211746203377115 6.557438524302 1.31753388653659 0.0323094701569989 1.50369006478031 3.04559967445989 3.66551846509267 0.670843910822983 -0.745663391694444 1.55075436160475 -2.37464157556628 0.0407828815297671 -1.02617677011131 -0.660492336276556
"183" "89-5" "No" "Reduced" "Open" "No" "No" 25.25 3.03 5.775 6.14 69.25 45 1.35868488949876 0.775403972395607 5.02493781056044 1.31935193127267 0.0299844455688612 1.57413542577276 4.10651354116928 3.55689330449006 -0.604461575461181 -0.685417811726197 0.944133834590796 -2.18362385219344 0.866061340692345 -1.46477646260093 0.167231547170175
"184" "89-5" "No" "Reduced" "Supp" "No" "No" 29.5 3.1775 5.6225 3.425 25.25 38 0.794732914891464 0.155179870805158 5.43139024560011 1.33512334523728 0.0316330502900256 1.360395366183 2.93373215422131 3.36197540679896 -0.266222894283604 -0.162791518566192 1.37427013073703 -2.76319557985889 -0.0462381836385019 -2.25180342314831 -0.810966293513442
"185" "9-5" "Yes" "Ambient" "Open" "Yes" "Yes" 26 3.04 5.48666666666667 46.8733333333333 1 NA 0.395149758948387 0.0190746663111839 5.09901951359278 1.32043916081593 0.0332187164583238 2.61656458961149 1 NA -0.542812793530271 -0.649389669463118 1.78798517340317 0.642998693970632 -1.55047669229214 NA -1.5040596736532
"186" "9-5" "Yes" "Ambient" "Supp" "Yes" "Yes" 35.6666666666667 3.23 5.74 52.5175 2.25 NA 0.523154614749329 0.0442651527222608 5.97215762238964 1.34060436951442 0.030351224368391 2.69200592258 1.31037069710445 NA 0.183789034741499 0.0188362928085981 1.03982983273358 0.847563358965404 -1.30904121038064 NA -1.28202999882372
"187" "9-5" "Yes" "Reduced" "Open" "Yes" "Yes" 26.5 2.88666666666667 6.20666666666667 25.275 2 32 0.538186163152668 0.0481913806339632 5.1478150704935 1.30346435508735 0.0259587129554745 2.24219196058227 1.25992104989487 3.1748021039364 -0.502206455886328 -1.21189343830348 -0.106217224924635 -0.372139936633161 -1.34828568481055 -3.00755975641737 -1.25595716132632
"188" "9-5" "Yes" "Reduced" "Supp" "Yes" "Yes" 67.3333333333333 3.2 6.095 59.07 2 65 0.535894796312417 0.0475784626465349 8.20568908339411 1.33748060995284 0.0269186068813381 2.77230968851185 1.25992104989487 4.02072575858906 2.04247327577713 -0.0846775001873982 0.144228022904452 1.06531286483013 -1.34828568481055 0.408056411531981 -1.25993163113274
"189" "93-5" "No" "Ambient" "Open" "No" "No" 49.3333333333333 3.795 6.31 30.3975 72.25 87.1666666666667 1.90063178021076 2.12258819975556 7.02376916856849 1.39573492249704 0.0251154683658118 2.34806149511607 4.16497709275198 4.43387534908632 1.05891161201414 1.84572870777019 -0.3262275766399 -0.0850669885172943 0.911539782704791 2.07624527623933 1.10726066689943
"190" "93-5" "No" "Ambient" "Supp" "No" "No" 59 3.82 6.62666666666667 24.905 19.5 81.8333333333333 1.12314800196232 0.438008715061025 7.68114574786861 1.39802790693505 0.0227724495868572 2.23394067911654 2.69160630604364 4.34153607368896 1.60596255340609 1.92171263411959 -0.937542955300691 -0.394513886859088 -0.234586411687662 1.70340368438971 -0.241316849082756
"191" "93-5" "No" "Reduced" "Open" "No" "No" 54 3.88666666666667 6.82666666666667 12.1975 9.75 81.3333333333333 1.03319624609322 0.340973198842792 7.34846922834953 1.40408798787071 0.0214576721191406 1.86882100454272 2.13632934084896 4.33267577136067 1.32911818609433 2.12252897454161 -1.2805806179738 -1.3845624580233 -0.666532993426395 1.6676281250718 -0.397341860641806
"192" "93-5" "No" "Reduced" "Supp" "No" "No" 56.5 3.63333333333333 6.02333333333333 27.9725 32.5 89 1.46484739479027 0.971737436163955 7.51664818918645 1.38062683616275 0.0275629821799195 2.29976161330642 3.19125214942995 4.46474509558454 1.46907215121141 1.3450834786648 0.312351528012557 -0.216035633329054 0.154085057972556 2.20088915474997 0.351374768780546
"193" "98-5" "Yes" "Ambient" "Open" "Yes" "Yes" 23.75 3.00333333333333 5.94333333333333 20.9475 54.75 63.875 1.67216633658816 1.44547376452163 4.87339717240448 1.31643943684247 0.0283099969834125 2.13935595231782 3.79718165908743 3.99739413607028 -0.730569580176861 -0.781930792193123 0.507254634024495 -0.650987257488401 0.625433946683273 0.313849485574391 0.71097798027869
"194" "98-5" "Yes" "Ambient" "Supp" "Yes" "Yes" 21 3.02666666666667 6.09 10.645 29.25 58.625 1.3187784963292 0.709067134729241 4.58257569495584 1.3189889234157 0.0269628263513095 1.80628558656019 3.08112007387452 3.88473100583625 -0.972583317850112 -0.697447009051125 0.155765293656415 -1.5541317952359 0.0684139846924264 -0.141054461185589 0.0980122707324532
"195" "98-5" "Yes" "Reduced" "Open" "Yes" "Yes" 31.25 2.91 5.71666666666667 7.9625 19 55.6666666666667 1.17625867710938 0.503130106668556 5.59016994374947 1.30609042984136 0.0305994951083307 1.67981850564413 2.66840164872194 3.81825625728118 -0.134090740383296 -1.12487170915926 1.10460597655277 -1.89705648946499 -0.252637173809609 -0.409461928781831 -0.149194203741765
"196" "98-5" "Yes" "Reduced" "Supp" "Yes" "Yes" 22.25 2.9375 5.9425 13.1625 39.5 58.125 1.40617220307369 0.859581997025863 4.7169905660283 1.30916524934794 0.0283179375196566 1.9047351487108 3.40564230384454 3.87365544749789 -0.860726911533425 -1.02297967053386 0.509326393740818 -1.28717864226565 0.320857858146883 -0.185774638853519 0.249600241120065
"197" "99-5" "No" "Ambient" "Open" "Yes" "No" 22.75 3.18666666666667 6.03666666666667 35.9675 7.75 NA 0.600668582958732 0.0670002676351392 4.76969600708473 1.33608521878888 0.0274413585789767 2.44893671929979 1.9789458048402 NA -0.816866874449212 -0.130917368925187 0.280618799989941 0.188463523596385 -0.78896069106572 NA -1.14757884032205
"198" "99-5" "No" "Ambient" "Supp" "Yes" "No" 29.75 3.1525 5.6 36.63 3.75 50 0.434933270250259 0.0254354646799458 5.45435605731786 1.33248943352526 0.0318877551020408 2.46013664265821 1.55361625297693 3.68403149864039 -0.247111369298334 -0.250072945434623 1.44072498376781 0.218832930917686 -1.1198219685102 -0.951426033025769 -1.43505354085722
"199" "99-5" "No" "Reduced" "Open" "Yes" "No" 25 3.2775 6.14 77.0475 10.25 51.3333333333333 0.900994926478461 0.226119919191021 5 1.34550611259227 0.0265254803764496 2.96271337354854 2.17224074288431 3.7164915984845 -0.625214144343191 0.181268134401937 0.0416576635218865 1.58160631446417 -0.638597731697727 -0.820360727981985 -0.626650474150491
"200" "99-5" "No" "Reduced" "Supp" "Yes" "No" 29.25 3.26333333333333 6.13333333333333 73.175 5 44.5 0.700736582474494 0.106374163383232 5.40832691319598 1.34404979594454 0.0265831758034026 2.924763018673 1.7099759466767 3.54367053075038 -0.285415573336368 0.133009343339938 0.056710936714396 1.47870116517699 -0.998190711590242 -1.51816652862166 -0.974006789056498
